fallacy_pk,family,fallacy_name,RA_scheme,attack_type,attacked_component,CA_node,AIF_RA_node,AIF_CA_node,violated_cq,why_not_others,justification
826,Abus de langage,Définition incohérente,Argument from Verbal Classification,undercut,inference_rule,DefinitionConsistency,VerbalClassification_Inference,DefinitionConsistency_Conflict,Les termes employés reçoivent-ils des définitions cohérentes et non contradictoires permettant d'appliquer correctement la classification verbale ?,"Ce n'est pas un undermine car le problème principal n'est pas seulement une prémisse factuelle fausse, ni un rebut car aucune contre-conclusion directe n'est établie : c'est la règle de passage par classification verbale qui devient inapplicable.",Une définition incohérente constitue une exception à l'Argument from Verbal Classification parce qu'elle empêche la classification verbale de fonctionner comme règle d'inférence valide.
834,Abus de langage,Comparaison abusive,Argument from Analogy,undercut,inference_rule,DifferencesUndermineSimilarity,Analogy_Inference,DifferencesUndermineSimilarity_Conflict,Existe-t-il des différences pertinentes entre les deux cas comparés qui annulent la force de la similarité invoquée ?,"Ce n’est pas un undermine car les ressemblances mentionnées peuvent être factuellement vraies, ni un rebut car la CQ ne produit pas directement une conclusion opposée.",Ce sophisme est une exception à l’Argument from Analogy parce que la CQ sur les différences pertinentes sous-coupe l’applicabilité même de l’inférence analogique.
844,Abus de langage,Sophisme d'association,Argument from Analogy,undercut,inference_rule,RelevantSimilarity,Analogy_Inference,RelevantSimilarity_Conflict,Les caractéristiques communes invoquées sont-elles réellement pertinentes pour transférer la propriété ou l'évaluation d'un élément à l'autre ?,"Ce n'est ni un undermine, car le problème principal n'est pas la fausseté des ressemblances alléguées, ni un rebut, car aucune contre-conclusion directe n'est établie.",Le sophisme d'association est une exception abusive à l'Argument from Analogy parce qu'il viole la CQ de pertinence des similarités et bloque ainsi l'applicabilité de la règle d'inférence analogique.
847,Abus de langage,Amphibologie,Argument from Verbal Classification,undercut,inference_rule,SyntacticAmbiguity,VerbalClassification_Inference,SyntacticAmbiguity_Conflict,La structure syntaxique de l’énoncé permet-elle une interprétation univoque qui autorise réellement la classification ou la conclusion proposée ?,"Ce n’est ni un undermine, car le problème principal n’est pas la fausseté d’une prémisse, ni un rebut, car aucune contre-conclusion directe n’est établie.",Ce sophisme constitue une exception à l’Argument from Verbal Classification parce que la CQ sur l’univocité syntaxique bloque l’application valide de la règle inférentielle.
855,Abus de langage,Équivoque,Argument from Verbal Classification,undercut,inference_rule,AmbiguousTerm,VerbalClassification_Inference,AmbiguousTerm_Conflict,Le terme employé conserve-t-il le même sens dans les prémisses et dans la conclusion ?,"Ce n’est pas principalement un undermine car les prémisses peuvent être acceptables chacune dans leur sens propre, ni un rebut car aucune contre-conclusion directe n’est établie.",L’équivoque est une exception à l’Argument from Verbal Classification parce que la CQ sur l’univocité du terme révèle que l’inférence classificatoire est invalide dans ce cas.
698,Erreur de raisonnement,Pétition de principe,Argument from Commitment,undermine,premise,CircularPremise,Commitment_Inference,CircularPremise_Conflict,La prémisse invoquée est-elle acceptable indépendamment de la conclusion qu’elle prétend établir ?,"Ce n’est ni un undercut, car la règle d’inférence par engagement n’est pas en elle-même inapplicable, ni un rebut, car aucune contre-conclusion directe n’est produite.",La pétition de principe est une exception abusive au scheme car elle mine la prémisse centrale en substituant à une raison indépendante une répétition déguisée de la conclusion.
707,Erreur de raisonnement,Inversion de causalité,Argument from Correlation to Cause,undercut,inference_rule,ReverseCausation,CorrelationtoCause_Inference,ReverseCausation_Conflict,"La corrélation observée ne s’explique-t-elle pas mieux par une causalité inverse, où l’effet supposé est en réalité la cause ?","Ce n’est pas un undermine car la corrélation de départ peut être vraie, ni un rebut car on ne produit pas simplement une conclusion incompatible, on conteste que la règle permette d’inférer cette direction causale.","L’inversion de causalité est une exception au scheme parce que, même avec une corrélation réelle, l’inférence vers la cause alléguée est non licenciée tant que la direction causale n’est pas justifiée."
727,Erreur de raisonnement,Erreur de logique propositionnelle,Argument from Rule,undercut,inference_rule,InvalidLogicalForm,Rule_Inference,InvalidLogicalForm_Conflict,"La règle logique invoquée autorise-t-elle réellement cette conclusion à partir de ces propositions reliées par « et », « ou » ou « si… alors » ?","Ce n’est ni un undermine, car le problème principal n’est pas la fausseté d’une prémisse, ni un rebut, car aucune contre-conclusion indépendante n’est établie contre la conclusion.","Cette erreur est une exception à l’Argument from Rule parce que la règle logique prétendument appliquée est inapplicable ou mal formée, ce qui sous-coupe le passage inférentiel lui-même."
735,Erreur de raisonnement,Erreur de quantification,Argument from Verbal Classification,undercut,inference_rule,IllicitQuantifierShift,VerbalClassification_Inference,IllicitQuantifierShift_Conflict,Le quantificateur employé autorise-t-il réellement le passage de la prémisse à la conclusion dans cette classification ?,"Ce n’est pas un undermine car le problème principal n’est pas la fausseté d’une prémisse, ni un rebut car aucune contre-conclusion indépendante n’est produite.",L’erreur de quantification est une exception au schème de classification verbale parce qu’elle rend invalide l’application de la règle reliant la classe linguistique à la conclusion.
750,Erreur de raisonnement,Erreur de modalité,Argument from Rule,undercut,inference_rule,ModalForceMismatch,Rule_Inference,ModalForceMismatch_Conflict,"La règle invoquée autorise-t-elle réellement le passage de ce qui est possible à ce qui est nécessaire, certain ou obligatoire ?","Ce n’est pas principalement une prémisse fausse à miner ni une contre-conclusion à opposer, mais une licence inférentielle invalide entre modalités distinctes.",L’erreur de modalité est une exception à l’Argument from Rule parce qu’elle undercutte la règle d’inférence en confondant la force modale de la règle invoquée.
