fallacy_pk,family,fallacy_name,RA_scheme,attack_type,attacked_component,CA_node,AIF_RA_node,AIF_CA_node,violated_cq,why_not_others,justification
177,Influence,Langage persuasif,Argument from Verbal Classification,undermine,premise,LoadedLanguage,VerbalClassification_Inference,LoadedLanguage_Conflict,"Les termes qui cadrent le débat sont-ils neutres, acceptables et non chargés de présupposés contestables ?","Ce n’est pas un undercut car la classification verbale pourrait fonctionner avec des termes neutres, ni un rebut car aucune contre-conclusion directe n’est fournie.",Le langage persuasif abuse de l’Argument from Verbal Classification en introduisant dans les prémisses des qualifications chargées qui imposent implicitement l’acceptation d’un cadre contestable.
219,Influence,Humour,Argument from Popular Opinion,undermine,premise,EmotionalAppeal,PopularOpinion_Inference,EmotionalAppeal_Conflict,La sympathie ou l’amusement suscité par l’orateur repose-t-il sur une raison pertinente et non sur une simple séduction émotionnelle ?,"Ce n’est pas un undercut car le schème d’appel à l’adhésion populaire n’est pas formellement rendu inapplicable, ni un rebut car l’humour ne produit pas une conclusion opposée.",L’humour devient une exception à l’Argument from Popular Opinion lorsqu’il substitue à une raison partagée une prémisse affective de sympathie sans valeur probante.
247,Influence,Poésie,Argument from Values,undermine,premise,RhetoricalEmbellishment,Values_Inference,RhetoricalEmbellishment_Conflict,Les valeurs invoquées sont-elles appuyées par des raisons pertinentes plutôt que par un embellissement stylistique destiné à séduire ?,"Ce n’est pas un undercut car raisonner à partir de valeurs reste possible, ni un rebut car le style poétique n’établit pas directement une thèse contraire.",La poésie abusive est une exception à l’Argument from Values parce qu’elle mine l’acceptabilité de la prémisse axiologique en la remplaçant par une séduction verbale.
300,Influence,Connivence,Argument from Values,undermine,premise,EmotionalAlliance,Values_Inference,EmotionalAlliance_Conflict,L’appel à une valeur commune repose-t-il sur une raison partageable plutôt que sur une alliance émotionnelle avec l’auditoire ?,"Ce n’est pas un undercut car l’inférence par valeurs n’est pas en soi invalide, ni un rebut car aucune conclusion incompatible n’est directement défendue.",La connivence abuse de l’Argument from Values en minant la prémisse de valeur par une identification émotionnelle qui oriente le jugement sans justification indépendante.
322,Influence,Repoussoir,Argument from Bias,undermine,premise,DerogatoryPortrayal,Bias_Inference,DerogatoryPortrayal_Conflict,La caractérisation négative de l’idée ou de ses défenseurs est-elle pertinente et étayée plutôt que simplement repoussante ?,"Ce n’est pas un undercut car le schème sur le biais peut être légitime si le biais est démontré, ni un rebut car le repoussoir ne démontre pas directement la fausseté de la thèse visée.",Le repoussoir est une exception à l’Argument from Bias parce qu’il mine la prémisse de discrédit en la fondant sur une présentation répulsive plutôt que sur un biais établi.
340,Influence,Appel aux conséquences,Argument from Consequences,undermine,premise,RelevanceOfConsequences,Consequences_Inference,RelevanceOfConsequences_Conflict,"Les conséquences invoquées sont-elles réelles, pertinentes et suffisantes pour juger la thèse elle-même ?","Ce n’est pas un undercut car le raisonnement par conséquences peut être applicable, ni un rebut car l’appel ne formule pas nécessairement une conclusion contraire mais appuie sa prémisse sur une conséquence contestable.",L’appel abusif aux conséquences est une exception à l’Argument from Consequences lorsqu’il mine la prémisse en substituant des effets craints ou désirés à l’examen de la justesse de la thèse.
357,Influence,Conditionnement,Argument from Sign,undermine,premise,AssociativeConditioning,Sign_Inference,AssociativeConditioning_Conflict,Le signe ou l’association invoqué indique-t-il réellement la propriété conclue plutôt qu’une émotion artificiellement conditionnée ?,"Ce n’est pas un undercut car l’inférence par signe demeure valide quand le signe est fiable, ni un rebut car le conditionnement ne soutient pas directement une conclusion contradictoire.",Le conditionnement abuse de l’Argument from Sign en minant la prémisse selon laquelle l’association émotionnelle serait un indice fiable de la qualité ou de la valeur conclue.
420,Influence,Jeu de pouvoir,Argument from Commitment,undermine,premise,CoercedCommitment,Commitment_Inference,CoercedCommitment_Conflict,L’engagement attribué à l’interlocuteur est-il librement accepté plutôt qu’imposé par une pression affective ou psychologique ?,"Ce n’est pas un undercut car raisonner à partir d’un engagement authentique reste légitime, ni un rebut car aucune contre-conclusion directe n’est avancée.",Le jeu de pouvoir est une exception à l’Argument from Commitment parce qu’il mine la prémisse d’engagement en la produisant par ascendant psychologique plutôt que par adhésion réelle.
511,Influence,Influence non verbale,Argument from Sign,undermine,premise,NonVerbalManipulation,Sign_Inference,NonVerbalManipulation_Conflict,Les signes non verbaux utilisés sont-ils des indices pertinents de la thèse plutôt que des moyens de déstabilisation ou de pression ?,"Ce n’est pas un undercut car les signes non verbaux peuvent parfois être pertinents, ni un rebut car ils ne formulent pas une conclusion opposée.",L’influence non verbale abuse de l’Argument from Sign en minant la prémisse indiciaire par des gestes ou intonations qui persuadent sans apporter de fait pertinent.
889,Tricherie,Mensonge,Argument from Position to Know,undermine,premise,PremiseTruth,PositionToKnow_Inference,PremiseTruth_Conflict,L’assertion présentée comme connue est-elle vraie et sincèrement soutenue par quelqu’un en position de la savoir ?,"Ce n’est pas un undercut car la règle d’inférence depuis une position de savoir peut être correcte, ni un rebut car le problème est la fausseté de la prémisse plutôt qu’une contre-thèse indépendante.",Le mensonge est une exception à l’Argument from Position to Know parce qu’il mine directement la prémisse factuelle que l’orateur prétend connaître.
942,Tricherie,Fausse attribution,Argument from Expert Opinion,undermine,premise,SourceCredibility,ExpertOpinion_Inference,SourceCredibility_Conflict,"La source citée existe-t-elle, est-elle correctement identifiée et possède-t-elle l’expertise pertinente ?","Ce n’est pas un undercut car l’appel à l’expertise reste applicable avec une source fiable, ni un rebut car aucune conclusion opposée n’est établie.",La fausse attribution est une exception à l’Argument from Expert Opinion parce qu’elle mine la prémisse de crédibilité ou d’existence de la source experte.
953,Tricherie,Attention sélective,Argument from Example,undermine,premise,SelectiveEvidence,Example_Inference,SelectiveEvidence_Conflict,"Les exemples ou faits retenus sont-ils représentatifs de l’ensemble des données pertinentes, y compris celles qui contredisent la thèse ?","Ce n’est pas un undercut car l’inférence par exemple peut fonctionner avec un échantillon représentatif, ni un rebut car l’omission ne constitue pas à elle seule une contre-conclusion directe.",L’attention sélective abuse de l’Argument from Example en minant la prémisse probatoire par une sélection non représentative des faits.
974,Tricherie,Exigence renforcée,Argument from Rule,undercut,inference_rule,MovingGoalposts,Rule_Inference,MovingGoalposts_Conflict,Le critère ou la règle d’évaluation reste-t-il stable une fois que l’interlocuteur y a satisfait ?,"Ce n’est pas un undermine car les preuves apportées peuvent être vraies, ni un rebut car la manœuvre ne réfute pas directement la conclusion mais modifie la règle d’acceptation.",L’exigence renforcée est une exception à l’Argument from Rule parce qu’elle sous-coupe l’applicabilité de la règle en déplaçant arbitrairement le seuil requis.
992,Tricherie,Vouloir le beurre et l’argent du beurre,Argument from Commitment,undercut,inference_rule,EquivocalCommitment,Commitment_Inference,EquivocalCommitment_Conflict,La position ou l’engagement invoqué est-il suffisamment clair pour permettre d’en tirer une conséquence argumentative contrôlable ?,"Ce n’est pas un undermine car aucune prémisse factuelle précise n’est simplement fausse, ni un rebut car aucune contre-conclusion directe n’est avancée.",Vouloir le beurre et l’argent du beurre est une exception à l’Argument from Commitment parce que l’engagement reste équivoque et rend inapplicable l’inférence à partir d’une position déterminée.
1011,Tricherie,Exigence relâchée,Argument from Rule,undercut,inference_rule,LoweredStandards,Rule_Inference,LoweredStandards_Conflict,Le critère d’évaluation appliqué est-il maintenu au même niveau au lieu d’être abaissé pour sauver la position défendue ?,"Ce n’est pas un undermine car certains éléments positifs peuvent être vrais, ni un rebut car la manœuvre ne soutient pas directement une conclusion contradictoire.",L’exigence relâchée est une exception à l’Argument from Rule parce qu’elle sous-coupe la règle d’évaluation en modifiant indûment le seuil de réussite.
1024,Tricherie,Biais naturels,Argument from Cause to Effect,undermine,premise,AnthropocentricBias,CauseToEffect_Inference,AnthropocentricBias_Conflict,La relation causale ou téléologique invoquée repose-t-elle sur des faits plutôt que sur une projection anthropocentrique ?,"Ce n’est pas un undercut car le schème causal reste applicable avec des prémisses non biaisées, ni un rebut car aucune contre-conclusion directe n’est formulée.",Les biais naturels abusent de l’Argument from Cause to Effect en minant la prémisse causale par une projection issue des réflexes et limites de la perspective humaine.
1174,Tricherie,Biais culturels,Argument from Values,undermine,premise,CulturalBias,Values_Inference,CulturalBias_Conflict,L’évaluation proposée repose-t-elle sur des valeurs justifiées plutôt que sur les présupposés particuliers d’un contexte culturel ?,"Ce n’est pas un undercut car l’argument par valeurs peut être pertinent, ni un rebut car le biais culturel ne produit pas nécessairement une conclusion opposée.",Les biais culturels sont une exception à l’Argument from Values parce qu’ils minent la prémisse évaluative en la faisant dépendre d’un cadre culturel non interrogé.
1242,Tricherie,Biais théoriques,Argument from Rule,undermine,premise,TheoreticalBias,Rule_Inference,TheoreticalBias_Conflict,La règle ou le concept théorique appliqué repose-t-il sur une prémisse adaptée au cas plutôt que sur un cadre rigide et déformant ?,"Ce n’est pas principalement un undercut car la règle peut être valide dans son domaine normal, ni un rebut car aucune thèse contraire n’est directement établie.",Les biais théoriques abusent de l’Argument from Rule en minant la prémisse d’applicabilité concrète par une rigidité conceptuelle qui déforme le cas examiné.
1282,Obstruction,Relativisme abusif,Argument from Commitment,rebut,conclusion,CounterConclusionConflict,Commitment_Inference,CounterConclusionConflict_Conflict,L’affirmation relativiste contredit-elle indûment la conclusion commune en niant qu’une vérité discutable puisse valoir au-delà d’une perspective individuelle ?,"Ce n’est pas un undermine car il ne s’agit pas seulement de contester une prémisse, ni un undercut car la règle d’inférence par engagement n’est pas analysée comme inapplicable.",Le relativisme abusif fait exception à l’Argument from Commitment en opposant une contre-conclusion qui refuse la portée de la conclusion discutée et bloque l’échange rationnel.
1287,Obstruction,Pseudo-explication,Argument from Cause to Effect,undermine,premise,PseudoExplanation,CauseToEffect_Inference,PseudoExplanation_Conflict,L’explication proposée identifie-t-elle réellement des causes pertinentes plutôt que de reformuler ou d’escamoter ce qui doit être expliqué ?,"Ce n’est pas un undercut car l’inférence explicative causale peut être valable avec de vraies prémisses, ni un rebut car la pseudo-explication ne produit pas forcément une conclusion contradictoire démontrée.",La pseudo-explication est une exception à l’Argument from Cause to Effect parce qu’elle mine la prémisse explicative en présentant comme cause ce qui n’explique rien réellement.
1297,Obstruction,Preuve par assertion,Argument from Position to Know,undermine,premise,BareAssertion,PositionToKnow_Inference,BareAssertion_Conflict,L’assertion répétée est-elle appuyée par des raisons ou des connaissances indépendantes plutôt que par sa seule insistance ?,"Ce n’est pas un undercut car l’inférence depuis une connaissance déclarée reste possible avec un support réel, ni un rebut car la répétition ne constitue pas en soi une contre-conclusion argumentée.",La preuve par assertion abuse de l’Argument from Position to Know en minant la prémisse de connaissance par une affirmation nue dépourvue de justification.
1313,Obstruction,Évasion,Argument from Practical Reasoning,rebut,conclusion,IssueAvoidance,PracticalReasoning_Inference,IssueAvoidance_Conflict,La réponse proposée traite-t-elle la question à résoudre au lieu de substituer une autre conclusion ou un autre agenda de discussion ?,"Ce n’est pas un undermine car la manœuvre ne vise pas d’abord la vérité d’une prémisse, ni un undercut car elle ne montre pas que la règle pratique est inapplicable.",L’évasion est une exception à l’Argument from Practical Reasoning parce qu’elle oppose une conclusion pratique de déplacement du débat à la conclusion attendue sur le fond.
1345,Obstruction,Complication exagérée,Argument from Practical Reasoning,undercut,inference_rule,ExcessiveComplexity,PracticalReasoning_Inference,ExcessiveComplexity_Conflict,La complexité invoquée empêche-t-elle réellement l’application d’un raisonnement pratique ou sert-elle à rendre indécidable une question traitable ?,"Ce n’est pas un undermine car certaines variables peuvent exister réellement, ni un rebut car aucune conclusion contraire précise n’est établie.",La complication exagérée est une exception à l’Argument from Practical Reasoning parce qu’elle sous-coupe abusivement l’applicabilité de l’inférence pratique en prétendant qu’aucune résolution claire n’est possible.
1352,Obstruction,Empoisonnement du puits,Argument from Bias,undermine,premise,PoisoningTheWell,Bias_Inference,PoisoningTheWell_Conflict,L’information préjudiciable invoquée établit-elle un biais pertinent de la source plutôt qu’un discrédit préalable et non probant ?,"Ce n’est pas un undercut car le schème du biais peut être légitime lorsque le biais est pertinent, ni un rebut car la thèse adverse n’est pas directement réfutée.",L’empoisonnement du puits abuse de l’Argument from Bias en minant la prémisse de crédibilité par un discrédit préventif qui n’établit pas la fausseté du contenu.
1361,Obstruction,Procès en incohérence,Argument from Commitment,rebut,conclusion,TuQuoque,Commitment_Inference,TuQuoque_Conflict,L’incohérence alléguée de l’interlocuteur réfute-t-elle réellement sa conclusion plutôt que de lui opposer seulement son comportement ou ses engagements ?,"Ce n’est pas un undermine car la contradiction personnelle peut être factuelle sans miner une prémisse de fond, ni un undercut car la règle d’engagement n’est pas la cible principale.",Le procès en incohérence est une exception à l’Argument from Commitment parce qu’il oppose une contre-conclusion de type tu quoque qui détourne la discussion de la vérité de la thèse.
1371,Obstruction,Sophisme génétique,Argument from Bias,undermine,premise,GeneticAdHominem,Bias_Inference,GeneticAdHominem_Conflict,L’origine de l’idée ou de la personne établit-elle un biais pertinent qui affecte le contenu de la thèse ?,"Ce n’est pas un undercut car l’argument par biais peut être applicable si le biais est démontré, ni un rebut car critiquer l’origine ne fournit pas directement une conclusion contraire au contenu.",Le sophisme génétique abuse de l’Argument from Bias en minant la prémisse de discrédit par une origine non pertinente au lieu d’évaluer le contenu de l’idée.
1398,Obstruction,Attaque personnelle,Argument from Bias,undermine,premise,PersonalAttack,Bias_Inference,PersonalAttack_Conflict,Le trait personnel attaqué établit-il un biais ou une incompétence pertinente relativement à l’argument présenté ?,"Ce n’est pas un undercut car l’inférence par biais reste possible avec une pertinence démontrée, ni un rebut car l’attaque personnelle ne réfute pas directement la conclusion adverse.",L’attaque personnelle est une exception à l’Argument from Bias parce qu’elle mine abusivement la crédibilité de la source au moyen d’un trait personnel non pertinent pour l’argument.
