virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
2,Argument fondé,1,Insuffisance,3;33,3=Argument vide; 33=Justification triviale,Argument from Sign,Les faits ou raisons invoqués constituent-ils un appui pertinent et suffisant pour la conclusion ?,crossLink_Opposes,L’argument fondé prévient l’insuffisance en exigeant que les prémisses fournissent un signe réel et solide de la conclusion.
28,Interprétation juste,1,Insuffisance,953;153,953=Attention sélective; 153=Argument des mauvaises raisons,Argument from Sign,L’interprétation prend-elle en compte tous les éléments pertinents sans sélection ni distorsion biaisée ?,crossLink_Opposes,L’interprétation juste prévient l’insuffisance en restaurant l’examen complet et loyal des signes disponibles avant de conclure.
35,Rhétorique acceptable,887,Tricherie,177;219,177=Langage persuasif; 219=Humour,Argument from Values,Le procédé rhétorique sert-il une valeur argumentative légitime sans manipuler l’auditeur ?,crossLink_Opposes,La rhétorique acceptable prévient la tricherie en subordonnant le style à la clarification éthique plutôt qu’à la manipulation.
51,Équilibre émotionnel,887,Tricherie,357;511,357=Conditionnement; 511=Influence non verbale,Argument from Values,L’appel émotionnel reste-t-il proportionné et compatible avec une évaluation rationnelle de l’argument ?,crossLink_Opposes,L’équilibre émotionnel prévient la tricherie en empêchant que l’affect remplace ou déforme l’évaluation rationnelle des raisons.
55,Communication authentique,887,Tricherie,889;953,889=Mensonge; 953=Attention sélective,Argument from Commitment,Les positions exprimées sont-elles sincères et répondent-elles loyalement aux arguments de l’autre ?,crossLink_Opposes,La communication authentique prévient la tricherie en restaurant la sincérité des engagements et l’écoute loyale des objections.
60,Généralisations justifiées,594,Erreur mathématique,596;759,596=Échantillon biaisé; 759=Conclusion hâtive,Argument from Example,"L’échantillon est-il représentatif, suffisant et analysé objectivement pour justifier la généralisation ?",crossLink_Opposes,Les généralisations justifiées préviennent l’erreur mathématique en exigeant que l’induction repose sur des données robustes et représentatives.
64,Interprétation rigoureuse des données,594,Erreur mathématique,596;644,596=Échantillon biaisé; 644=Probabilités faussées,Argument from Sign,"Les données invoquées sont-elles représentatives, correctement traitées et statistiquement fiables ?",crossLink_Opposes,L’interprétation rigoureuse des données empêche les biais et les distorsions statistiques en restaurant la question de la représentativité et de la fiabilité du signe quantitatif.
71,Résultats valides,594,Erreur mathématique,681;690,681=Erreur de calcul; 690=Opération inappropriée,Argument from Sign,"Les résultats sont-ils correctement calculés, reproductibles et cohérents avec les méthodes employées ?",crossLink_Opposes,Des résultats valides préviennent les erreurs mathématiques en vérifiant que les calculs et les opérations produisent un signe quantitatif fiable.
80,Causalités bien identifiées,696,Erreur de raisonnement,707;719,707=Inversion de causalité; 719=Effet cigogne,Argument from Cause to Effect,"La relation causale est-elle correctement établie, sans confondre cause, effet et simple corrélation ?",crossLink_Opposes,Identifier correctement les causalités empêche de prendre une corrélation pour une cause ou d’inverser le sens causal en restaurant l’examen du lien cause-effet.
84,Énoncés rigoureux,696,Erreur de raisonnement,727;784,727=Erreur de logique propositionnelle; 784=Syllogisme invalide,Argument from Rule,L’énoncé et l’inférence respectent-ils les règles syntaxiques et logiques du système employé ?,crossLink_Opposes,Des énoncés rigoureux préviennent les erreurs de raisonnement en restaurant la conformité aux règles formelles de construction et d’inférence.
135,Définitions claires,798,Abus de langage,800;826,800=Acception vague; 826=Définition incohérente,Argument from Verbal Classification,"Le terme est-il défini de façon précise, cohérente et conforme à l’usage pertinent ?",crossLink_Opposes,Des définitions claires empêchent les confusions lexicales en restaurant la question de la précision et de la cohérence de la classification verbale.
142,Comparaisons justifiées,798,Abus de langage,834;839,834=Comparaison abusive; 839=Fausse analogie,Argument from Analogy,Les éléments comparés présentent-ils des ressemblances pertinentes et suffisantes malgré leurs différences ?,crossLink_Opposes,Des comparaisons justifiées préviennent les abus de langage analogiques en restaurant l’examen de la pertinence réelle des ressemblances invoquées.
146,Clarté linguistique,798,Abus de langage,847;855,847=Amphibologie; 855=Équivoque,Argument from Verbal Classification,Les termes employés sont-ils suffisamment clairs et univoques pour soutenir la classification proposée ?,crossLink_Opposes,"La clarté linguistique prévient l’abus de langage en restaurant l’exigence que les mots utilisés aient un sens accessible, stable et non ambigu."
159,Clarté des enjeux,887,Tricherie,953;942,953=Attention sélective; 942=Fausse attribution,Argument from Commitment,"Les enjeux pertinents du débat sont-ils exposés loyalement, sans omission ni attribution trompeuse ?",crossLink_Opposes,"La clarté des enjeux empêche la tricherie en rendant explicites les objectifs, les responsabilités et les points réellement discutés."
167,Effort d'objectivité,887,Tricherie,953;1242,953=Attention sélective; 1242=Biais théoriques,Argument from Bias,"Les faits sont-ils établis avec impartialité, en tenant compte des biais possibles ?",crossLink_Opposes,L’effort d’objectivité prévient la tricherie en restaurant l’examen impartial des faits plutôt qu’une sélection orientée des éléments favorables.
180,Contribution positive,1280,Obstruction,1297;1313,1297=Preuve par assertion; 1313=Évasion,Argument from Commitment,La contribution apporte-t-elle des raisons substantielles qui répondent réellement à la discussion ?,crossLink_Opposes,La contribution positive prévient l’obstruction en remplaçant l’affirmation gratuite ou l’évitement par un apport argumentatif constructif.
199,Participation efficace,1280,Obstruction,1313;1345,1313=Évasion; 1345=Complication exagérée,Argument from Commitment,"La participation fait-elle avancer le débat de façon pertinente, claire et coopérative ?",crossLink_Opposes,La participation efficace prévient l’obstruction en maintenant l’échange centré sur des réponses utiles plutôt que sur l’évitement ou la complexification stérile.
207,Respect de la personne,1280,Obstruction,1398;1352,1398=Attaque personnelle; 1352=Empoisonnement du puits,Argument from Bias,La critique porte-t-elle sur l’argument plutôt que sur la disqualification de la personne ?,crossLink_Opposes,Le respect de la personne prévient l’obstruction en préservant la dignité des participants et en empêchant que le débat soit détourné par des attaques personnelles.
