# 847 release re-run 2026-08-28 — see 847-virtues-two-layer.md. MEASURE not verdict.
level,node,n_leaves,undercut,undermine,rebut,entropy_norm_a,homogeneity_ratio,native_scheme_n,fail_loud_rate_b,a_high,b_high,decision_rule_tag,n_gate
d1,Argument pertinent,33,33,0,0,0.0,1.0,33,0.0,False,False,coherent,supported
d1,Honnêteté intellectuelle,27,22,4,1,0.521,0.815,27,0.0,True,False,A-candidate,supported
d1,Inférence maîtrisée,55,55,0,0,0.0,1.0,55,0.0,False,False,coherent,supported
d1,Justesse lexicale,18,15,3,0,0.65,0.833,18,0.0,True,False,A-candidate,supported
d1,Présentation intègre,25,18,5,2,0.692,0.72,25,0.0,True,False,A-candidate,supported
d1,Sens quantitatif,20,19,1,0,0.286,0.95,20,0.0,False,False,coherent,supported
d1,Échange enrichissant,44,44,0,0,0.0,1.0,44,0.0,False,False,coherent,supported
d2,Argument fondé,10,10,0,0,0.0,1.0,10,0.0,False,False,coherent,supported
d2,Clarté des enjeux,8,7,0,1,0.544,0.875,8,0.0,True,False,A-candidate,supported
d2,Clarté linguistique,6,6,0,0,0.0,1.0,6,0.0,False,False,coherent,indicative
d2,Communication authentique,4,2,2,0,1.0,0.5,4,0.0,True,False,A-candidate,thin
d2,Comparaisons justifiées,4,4,0,0,0.0,1.0,4,0.0,False,False,coherent,thin
d2,Construction rigoureuse des énoncés,4,4,0,0,0.0,1.0,4,0.0,False,False,coherent,thin
d2,Contribution positive,19,19,0,0,0.0,1.0,19,0.0,False,False,coherent,supported
d2,Déductions correctes,46,46,0,0,0.0,1.0,46,0.0,False,False,coherent,supported
d2,Définitions recevables,7,4,3,0,0.985,0.571,7,0.0,True,False,A-candidate,indicative
d2,Effort d’objectivité,12,12,0,0,0.0,1.0,12,0.0,False,False,coherent,supported
d2,Equilibre émotionnel,4,2,0,2,1.0,0.5,4,0.0,True,False,A-candidate,thin
